Credit URL Caption Type exptID 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/ty-MetStation.jpg" "ty-MetStation" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/ty-Ploughing-Broadbalk-2013.jpg" "ty-Ploughing-Broadbalk-2013" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/ty-RothG" "ty-RothG" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/ty-RothStevensonScreen.jpg" "ty-RothStevensonScreen" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/ty-Rothgrassmin.jpg" "ty-Rothgrassmin" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/ty-Soildrains.jpg" "ty-Soildrains" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/ty-WindInstruments.jpg" "ty-WindInstruments" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/ty-WindInstrumentscloseup.jpg" "ty-WindInstrumentscloseup" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/ty-anemometer.gif" "ty-anemometer.gif" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/ty-met.gif" "ty-met.gif" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/ty-met2.gif" "ty-met2.gif" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/ty-new-thousand-acre-gauge.jpg" "ty-new-thousand-acre-gauge" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/ty-raingaugebelow40.jpg" "ty-raingaugebelow40" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/ty-solar.gif" "ty-solar.gif" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/ty-stevenson.gif" "ty-stevenson.gif" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/ty-stevenson2.gif" "ty-stevenson2.gif" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/wind-direction-video.AVI" "wind-direction-video.AVI" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/wind-direction.png" "wind-direction.png" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/wind-run.png" "wind-run.png" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/wind-speed-video.AVI" "wind-speed-video.AVI" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/wind-speed.png" "wind-speed.png" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/wind-tower.jpg" "wind-tower" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/windy-day-2.jpg" "windy-day-2" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/windy-day.jpg" "windy-day" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/worksheet.PNG" "worksheet.PNG" "Other" "met" 

"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/1921-Garden-Clover-675-crop.jpg" "1921-Garden-Clover-675-crop" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/1921-Garden-Clover-675.jpg" "1921-Garden-Clover-675" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/1921-Garden-Clover-750.jpg" "1921-Garden-Clover-750" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/1954-Harpenden-and-farm-maps-RothamstedFarm.jpg" "1954-Harpenden-and-farm-maps-RothamstedFarm" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/2810-Historic-Barnfield-yield-comparison-turnips-675.jpg" "2810-Historic-Barnfield-yield-comparison-turnips-675" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/2810-Historic-Barnfield-yield-comparison-turnips-750.jpg" "2810-Historic-Barnfield-yield-comparison-turnips-750" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/3423-Harpenden-and-farm-maps-WoburnFarm.jpg" "3423-Harpenden-and-farm-maps-WoburnFarm" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/3648-Aerial-Images-2015-Woburn-Fields-Butt-Close-04.jpg" "3648-Aerial-Images-2015-Woburn-Fields-Butt-Close-04" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/5472-Aerial-Images-2015-Rothamsted-Farm-Fosters-675.jpg" "5472-Aerial-Images-2015-Rothamsted-Farm-Fosters-675" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Barnfield-2015-750.jpg" "Barnfield-2015-750" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Barnfield-and-the-former-Agdell-at-bottom-2015-750.jpg" "Barnfield-and-the-former-Agdell-at-bottom-2015-750" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Classical-Experiments-aerial-layout-750.jpg" "Classical-Experiments-aerial-layout-750" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Continuous-maize-hoosfield-675.jpg" "Continuous-maize-hoosfield-675" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/ECN-plot-Park-Grass-2016-675.jpg" "ECN-plot-Park-Grass-2016-675" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/ECN-plot-Park-Grass-2016-750.jpg" "ECN-plot-Park-Grass-2016-750" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Exhaustion-land-Hoosfield-675.jpg" "Exhaustion-land-Hoosfield-675" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Former-Agdell-2015-675.jpg" "Former-Agdell-2015-675" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Fosters-2013-750.jpg" "Fosters-2013-750" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Fosters-2015-750.jpg" "Fosters-2015-750" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Fosters-Ley-Arable-675.jpg" "Fosters-Ley-Arable-675" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Garden-Clover-RGC8-2008-Cut-1A-750.jpg" "Garden-Clover-RGC8-2008-Cut-1A-750" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Garden-Clover-RGC8-2012-Resown-750.jpg" "Garden-Clover-RGC8-2012-Resown-750" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Garden-clover-120508-Cut-1B-750.jpg" "Garden-clover-120508-Cut-1B-750" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Highfield-2015-750.jpg" "Highfield-2015-750" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Highfield-LTE-750.jpg" "Highfield-LTE-750" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Highfield-Ley-Arable-2015-675.jpg" "Highfield-Ley-Arable-2015-675" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Hoosfield-625.jpg" "Hoosfield-625" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Hoosfield-750.jpg" "Hoosfield-750" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Hoosfield-LTEs-750.jpg" "Hoosfield-LTEs-750" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/LTliming-expt-lime-application-amounts-and-dates.pdf" "LTliming-expt-lime-application-amounts-and-dates.pdf" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Long-term-liming-experiments-site-and-soil-details.pdf" "Long-term-liming-experiments-site-and-soil-details.pdf" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Long-term-liming-expt-cropping-details.pdf" "Long-term-liming-expt-cropping-details.pdf" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Plan-Highfield-Experiments-750.jpg" "Plan-Highfield-Experiments-750" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Rothamsted-Farm-map-750.jpg" "Rothamsted-Farm-map-750" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Woburn-Farm-map-750.jpg" "Woburn-Farm-map-750" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Woburn-Fields-Butt-Close-750.jpg" "Woburn-Fields-Butt-Close-750" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Woburn-Fields-Stackyard-100.jpg" "Woburn-Fields-Stackyard-100" "Other" "others" 
